stop_code,stop_url,stop_lat,stop_timezone,preferred,stop_desc,stop_id,parent_station,stop_name,stop_lon,location_type,wheelchair_boarding,zone_id
2288,,43.8737626,,2,,2288,,Westney Northbound @ Sullivan,-79.04188859999998,0,1,
2298,,43.827964,,2,,2298,,Liverpool Northbound @ Bayly,-79.086894,0,2,
2299,,43.83746702,,1,,2299,,Bayly Eastbound @ Church,-79.04730836,0,1,
2300,,43.840287,,2,,2300,,Bayly Eastbound @ Westney,-79.03458,0,1,
2301,,43.841093,,2,,2301,,Bayly Eastbound @ Finley,-79.030872,0,1,
2302,,43.841851,,2,,2302,,Bayly Eastbound @ Mackenzie,-79.02756599999998,0,1,
2303,,43.8423437,,2,,2303,,Bayly Eastbound @ Monarch,-79.025254,0,1,
2304,,43.842726,,2,,2304,,Bayly Eastbound @ Woodchester,-79.02351899999998,0,2,
2305,,43.84332238201808,,2,,2305,,Bayly Eastbound @ Kitney,-79.02102331,0,1,
2307,,43.845278,,2,,2307,,Bayly Eastbound @ Burcher,-79.012218,0,1,
2308,,43.846033,,2,,2308,,Bayly Eastbound @ Porte,-79.009096,0,1,
2309,,43.846502,,1,,2309,,Bayly Eastbound @ Pickering Beach,-79.006585,0,1,
2310,,43.848164,,2,,2310,,Bayly Eastbound @ Shoal Point,-78.99917499999998,0,2,
2311,,43.84862720000001,,2,,2311,,Bayly Westbound @ Shoal Point,-78.99802099999998,0,1,
2312,,43.847892,,2,,2312,,Bayly Westbound @ Boone,-79.00124,0,1,
2313,,43.846629,,1,,2313,,Bayly Westbound @ Salem,-79.007018,0,2,
2314,,43.846159,,2,,2314,,Bayly Westbound @ Porte,-79.009124,0,1,
2315,,43.845625,,2,,2315,,Bayly Westbound @ Burcher,-79.01148499999998,0,1,
2316,,43.844242,,1,,2316,,Bayly Westbound @ Harwood,-79.017732,0,2,
2317,,43.843703,,2,,2317,,Bayly Westbound @ Commercial,-79.020186,0,1,
2318,,43.843281,,2,,2318,,Bayly Westbound @ Woodchester,-79.021975,0,1,
2319,,43.842681,,2,,2319,,Bayly Westbound @ Monarch,-79.024703,0,1,
2320,,43.8419865,,2,,2320,,Bayly Westbound @ Mackenzie,-79.0278284,0,1,
2321,,43.84141000000001,,2,,2321,,Bayly Westbound @ Finley,-79.030484,0,1,
2322,,43.840417,,2,,2322,,Bayly Westbound @ Westney,-79.035039,0,1,
2323,,43.83537,,2,,2323,,Bayly Westbound @ Squires Beach,-79.05759999999998,0,2,
2324,,43.83755071,,1,,2324,,Bayly Westbound @ Church,-79.04777984,0,1,
2326,,43.84675350879057,,2,,2326,,Hunt Westbound @ Mills,-79.02333478682516,0,2,
2328,,43.848622,,2,,2328,,Fairall Westbound @ Dowty,-79.030842,0,1,
2329,,43.847858,,2,,2329,,Fairall Westbound @ McMaster,-79.034274,0,1,
2330,,43.84696000000001,,2,,2330,,Fairall Westbound @ Westney,-79.038432,0,1,
2331,,43.8469093,,2,,2331,,Fairall Eastbound @ Westney (East side stop),-79.0381401,0,1,
2332,,43.847784,,2,,2332,,Fairall Eastbound @ McMaster,-79.034135,0,1,
2333,,43.8488203,,2,,2333,,Fairall Eastbound @ Dowty,-79.0293951,0,1,
2335,,43.84718321812876,,2,,2335,,Hunt Eastbound @ Harwood,-79.0209055885104,0,2,
2351,,43.850729,,2,,2351,,Eastbound @ 87 Station,-79.024869,0,2,
2352,,43.85141200000001,,2,,2352,,Station Eastbound @ Harwood,-79.021846,0,2,
2398,,43.896029,,2,,2398,,Eastbound @ 43 Taunton,-79.038914,0,1,
2399,,43.896906,,2,,2399,,Taunton Eastbound @ Middlecote,-79.034803,0,1,
2400,,43.897731,,1,,2400,,Taunton Eastbound @ Salem,-79.0312632,0,1,
2401,,43.8993868,,2,,2401,,Taunton Eastbound @ Gillett,-79.0245374,0,2,
2402,,43.901133,,1,,2402,,Taunton Eastbound @ Warner,-79.017127,0,2,
2403,,43.902546,,2,,2403,,Taunton Eastbound @ Audley,-79.011461,0,1,
2404,,43.90267,,2,,2404,,Taunton Westbound @ Audley,-79.011878,0,2,
2405,,43.9015153,,1,,2405,,Taunton Westbound @ Warner,-79.01660699999998,0,2,
2406,,43.8979268,,1,,2406,,Taunton Westbound @ Salem,-79.0315523,0,2,
2407,,43.8972765,,2,,2407,,Taunton Westbound @ Middlecote,-79.0342846,0,2,
2416,,44.087782,,2,,2416,,Eastbound @ 6 Welwood,-79.1330801,0,2,
2417,,44.089648,,2,,2417,,Plaza Northbound @ Welwood,-79.131489,0,2,
2418,,44.09199000000001,,2,,2418,,Toronto Northbound @ Douglas,-79.132073,0,1,
2419,,44.097727,,2,,2419,,Toronto Northbound @ Elgin Park,-79.12808,0,1,
2420,,44.101583,,2,,2420,,Toronto Northbound @ Campbell,-79.125598,0,1,
2421,,44.106913,,2,,2421,,Toronto Northbound @ Poplar,-79.123332,0,1,
2422,,44.109303,,2,,2422,,Toronto Northbound @ Brock Street (North side stop),-79.122461,0,1,
2424,,44.10911,,2,,2424,,Toronto Street Southbound @ Brock Street,-79.122648,0,2,
2425,,44.105762,,2,,2425,,Toronto Southbound @ Peel,-79.124135,0,1,
2426,,44.104382,,2,,2426,,Toronto Southbound @ Mill,-79.124941,0,1,
2427,,44.102555,,2,,2427,,Toronto Southbound @ Campbell,-79.125703,0,2,
2428,,44.104907,,2,,2428,,Reach Eastbound @ East,-79.113612,0,1,
2429,,44.104684,,2,,2429,,Reach Eastbound @ Hamilton,-79.111752,0,1,
2430,,44.104464,,2,,2430,,Reach Eastbound @ Testa,-79.109229,0,1,
2431,,44.104497,,2,,2431,,Reach Northbound @ Coral Creek,-79.108006,0,1,
2433,,44.106913,,2,,2433,,Franklin Northbound @ Parkside,-79.115832,0,1,
2434,,44.109968,,2,,2434,,Franklin Northbound @ Brock Street,-79.117222,0,2,
2436,,44.09739900000001,,2,,2436,,Toronto Southbound @ Elgin Park,-79.128533,0,1,
2437,,44.10394500000001,,2,,2437,,Toronto Northbound @ Mill,-79.12506,0,1,
2438,,44.107718,,2,,2438,,Toronto Southbound @ Brock Street (South side stop),-79.123036,0,1,
2441,,44.10972000000001,,2,,2441,,Franklin Southbound @ Brock Street,-79.11723499999998,0,1,
